report,category,terminal,gate,metric,time_slot,sample_n,mmss,seconds
1차,신분확인,T1,2번출국장,P95,전체,19825,0:02:02,122
1차,신분확인,T1,2번출국장,P95,06시~07시,2037,0:01:57,117
1차,신분확인,T1,2번출국장,P95,07시~08시,2091,0:02:28,148
1차,신분확인,T1,2번출국장,P95,08시~09시,2421,0:02:42,162
1차,신분확인,T1,2번출국장,P95,09시~10시,2015,0:03:02,182
1차,신분확인,T1,2번출국장,P95,10시~11시,1395,0:03:12,192
1차,신분확인,T1,2번출국장,P95,13시~14시,2117,0:01:01,61
1차,신분확인,T1,2번출국장,P95,14시~15시,2162,0:01:04,64
1차,신분확인,T1,2번출국장,P95,15시~16시,1896,0:02:05,125
1차,신분확인,T1,2번출국장,P95,16시~17시,1945,0:02:26,146
1차,신분확인,T1,2번출국장,P95,17시~18시,1746,0:01:19,79
1차,신분확인,T1,3번출국장,P95,전체,19825,0:02:44,164
1차,신분확인,T1,3번출국장,P95,06시~07시,2037,0:01:10,70
1차,신분확인,T1,3번출국장,P95,07시~08시,2091,0:01:17,77
1차,신분확인,T1,3번출국장,P95,08시~09시,2421,0:02:27,147
1차,신분확인,T1,3번출국장,P95,09시~10시,2015,0:05:02,302
1차,신분확인,T1,3번출국장,P95,10시~11시,1395,0:07:30,450
1차,신분확인,T1,3번출국장,P95,13시~14시,2117,0:01:20,80
1차,신분확인,T1,3번출국장,P95,14시~15시,2162,0:03:44,224
1차,신분확인,T1,3번출국장,P95,15시~16시,1896,0:03:02,182
1차,신분확인,T1,3번출국장,P95,16시~17시,1945,0:00:47,47
1차,신분확인,T1,3번출국장,P95,17시~18시,1746,0:01:15,75
1차,신분확인,T1,4번출국장,P95,전체,19825,0:03:57,237
1차,신분확인,T1,4번출국장,P95,06시~07시,2037,0:01:28,88
1차,신분확인,T1,4번출국장,P95,07시~08시,2091,0:01:29,89
1차,신분확인,T1,4번출국장,P95,08시~09시,2421,0:01:09,69
1차,신분확인,T1,4번출국장,P95,09시~10시,2015,0:08:48,528
1차,신분확인,T1,4번출국장,P95,10시~11시,1395,0:16:29,989
1차,신분확인,T1,4번출국장,P95,13시~14시,2117,0:05:55,355
1차,신분확인,T1,4번출국장,P95,14시~15시,2162,0:01:34,94
1차,신분확인,T1,4번출국장,P95,15시~16시,1896,0:02:19,139
1차,신분확인,T1,4번출국장,P95,16시~17시,1945,0:01:06,66
1차,신분확인,T1,4번출국장,P95,17시~18시,1746,0:01:04,64
1차,신분확인,T1,5번출국장,P95,전체,19825,0:04:11,251
1차,신분확인,T1,5번출국장,P95,06시~07시,2037,0:04:23,263
1차,신분확인,T1,5번출국장,P95,07시~08시,2091,0:02:51,171
1차,신분확인,T1,5번출국장,P95,08시~09시,2421,0:04:26,266
1차,신분확인,T1,5번출국장,P95,09시~10시,2015,0:05:32,332
1차,신분확인,T1,5번출국장,P95,10시~11시,1395,0:14:05,845
1차,신분확인,T1,5번출국장,P95,13시~14시,2117,0:09:11,551
1차,신분확인,T1,5번출국장,P95,14시~15시,2162,0:01:59,119
1차,신분확인,T1,5번출국장,P95,15시~16시,1896,0:00:57,57
1차,신분확인,T1,5번출국장,P95,16시~17시,1945,0:01:11,71
1차,신분확인,T1,5번출국장,P95,17시~18시,1746,0:01:57,117
1차,신분확인,T2,1번출국장,P95,전체,19825,0:16:42,1002
1차,신분확인,T2,1번출국장,P95,06시~07시,2037,0:20:35,1235
1차,신분확인,T2,1번출국장,P95,07시~08시,2091,0:25:03,1503
1차,신분확인,T2,1번출국장,P95,08시~09시,2421,0:07:59,479
1차,신분확인,T2,1번출국장,P95,09시~10시,2015,0:02:06,126
1차,신분확인,T2,1번출국장,P95,10시~11시,1395,0:03:27,207
1차,신분확인,T2,1번출국장,P95,13시~14시,2117,0:05:41,341
1차,신분확인,T2,1번출국장,P95,14시~15시,2162,0:17:02,1022
1차,신분확인,T2,1번출국장,P95,15시~16시,1896,0:25:06,1506
1차,신분확인,T2,1번출국장,P95,16시~17시,1945,0:18:37,1117
1차,신분확인,T2,1번출국장,P95,17시~18시,1746,0:04:17,257
1차,신분확인,T2,2번출국장,P95,전체,19825,0:09:42,582
1차,신분확인,T2,2번출국장,P95,06시~07시,2037,0:12:04,724
1차,신분확인,T2,2번출국장,P95,07시~08시,2091,0:10:30,630
1차,신분확인,T2,2번출국장,P95,08시~09시,2421,0:01:47,107
1차,신분확인,T2,2번출국장,P95,09시~10시,2015,0:02:12,132
1차,신분확인,T2,2번출국장,P95,10시~11시,1395,0:07:20,440
1차,신분확인,T2,2번출국장,P95,13시~14시,2117,0:02:13,133
1차,신분확인,T2,2번출국장,P95,14시~15시,2162,0:04:00,240
1차,신분확인,T2,2번출국장,P95,15시~16시,1896,0:14:54,894
1차,신분확인,T2,2번출국장,P95,16시~17시,1945,0:18:02,1082
1차,신분확인,T2,2번출국장,P95,17시~18시,1746,0:10:26,626
1차,신분확인,T1,2번출국장,평균,전체,19825,0:00:36,36
1차,신분확인,T1,2번출국장,평균,06시~07시,2037,0:00:41,41
1차,신분확인,T1,2번출국장,평균,07시~08시,2091,0:00:47,47
1차,신분확인,T1,2번출국장,평균,08시~09시,2421,0:00:48,48
1차,신분확인,T1,2번출국장,평균,09시~10시,2015,0:00:48,48
1차,신분확인,T1,2번출국장,평균,10시~11시,1395,0:00:46,46
1차,신분확인,T1,2번출국장,평균,13시~14시,2117,0:00:19,19
1차,신분확인,T1,2번출국장,평균,14시~15시,2162,0:00:20,20
1차,신분확인,T1,2번출국장,평균,15시~16시,1896,0:00:33,33
1차,신분확인,T1,2번출국장,평균,16시~17시,1945,0:00:36,36
1차,신분확인,T1,2번출국장,평균,17시~18시,1746,0:00:26,26
1차,신분확인,T1,3번출국장,평균,전체,19825,0:00:38,38
1차,신분확인,T1,3번출국장,평균,06시~07시,2037,0:00:26,26
1차,신분확인,T1,3번출국장,평균,07시~08시,2091,0:00:28,28
1차,신분확인,T1,3번출국장,평균,08시~09시,2421,0:00:33,33
1차,신분확인,T1,3번출국장,평균,09시~10시,2015,0:01:19,79
1차,신분확인,T1,3번출국장,평균,10시~11시,1395,0:01:38,98
1차,신분확인,T1,3번출국장,평균,13시~14시,2117,0:00:26,26
1차,신분확인,T1,3번출국장,평균,14시~15시,2162,0:00:47,47
1차,신분확인,T1,3번출국장,평균,15시~16시,1896,0:00:37,37
1차,신분확인,T1,3번출국장,평균,16시~17시,1945,0:00:14,14
1차,신분확인,T1,3번출국장,평균,17시~18시,1746,0:00:23,23
1차,신분확인,T1,4번출국장,평균,전체,19825,0:00:58,58
1차,신분확인,T1,4번출국장,평균,06시~07시,2037,0:00:32,32
1차,신분확인,T1,4번출국장,평균,07시~08시,2091,0:00:29,29
1차,신분확인,T1,4번출국장,평균,08시~09시,2421,0:00:28,28
1차,신분확인,T1,4번출국장,평균,09시~10시,2015,0:02:18,138
1차,신분확인,T1,4번출국장,평균,10시~11시,1395,0:05:55,355
1차,신분확인,T1,4번출국장,평균,13시~14시,2117,0:01:27,87
1차,신분확인,T1,4번출국장,평균,14시~15시,2162,0:00:28,28
1차,신분확인,T1,4번출국장,평균,15시~16시,1896,0:00:38,38
1차,신분확인,T1,4번출국장,평균,16시~17시,1945,0:00:23,23
1차,신분확인,T1,4번출국장,평균,17시~18시,1746,0:00:22,22
1차,신분확인,T1,5번출국장,평균,전체,19825,0:00:57,57
1차,신분확인,T1,5번출국장,평균,06시~07시,2037,0:01:08,68
1차,신분확인,T1,5번출국장,평균,07시~08시,2091,0:00:54,54
1차,신분확인,T1,5번출국장,평균,08시~09시,2421,0:01:02,62
1차,신분확인,T1,5번출국장,평균,09시~10시,2015,0:01:24,84
1차,신분확인,T1,5번출국장,평균,10시~11시,1395,0:02:54,174
1차,신분확인,T1,5번출국장,평균,13시~14시,2117,0:01:26,86
1차,신분확인,T1,5번출국장,평균,14시~15시,2162,0:00:30,30
1차,신분확인,T1,5번출국장,평균,15시~16시,1896,0:00:21,21
1차,신분확인,T1,5번출국장,평균,16시~17시,1945,0:00:23,23
1차,신분확인,T1,5번출국장,평균,17시~18시,1746,0:00:39,39
1차,신분확인,T2,1번출국장,평균,전체,19825,0:03:23,203
1차,신분확인,T2,1번출국장,평균,06시~07시,2037,0:09:03,543
1차,신분확인,T2,1번출국장,평균,07시~08시,2091,0:07:13,433
1차,신분확인,T2,1번출국장,평균,08시~09시,2421,0:01:41,101
1차,신분확인,T2,1번출국장,평균,09시~10시,2015,0:00:38,38
1차,신분확인,T2,1번출국장,평균,10시~11시,1395,0:00:55,55
1차,신분확인,T2,1번출국장,평균,13시~14시,2117,0:01:32,92
1차,신분확인,T2,1번출국장,평균,14시~15시,2162,0:04:30,270
1차,신분확인,T2,1번출국장,평균,15시~16시,1896,0:07:53,473
1차,신분확인,T2,1번출국장,평균,16시~17시,1945,0:05:12,312
1차,신분확인,T2,1번출국장,평균,17시~18시,1746,0:01:12,72
1차,신분확인,T2,2번출국장,평균,전체,19825,0:01:44,104
1차,신분확인,T2,2번출국장,평균,06시~07시,2037,0:03:38,218
1차,신분확인,T2,2번출국장,평균,07시~08시,2091,0:02:14,134
1차,신분확인,T2,2번출국장,평균,08시~09시,2421,0:00:35,35
1차,신분확인,T2,2번출국장,평균,09시~10시,2015,0:00:33,33
1차,신분확인,T2,2번출국장,평균,10시~11시,1395,0:01:30,90
1차,신분확인,T2,2번출국장,평균,13시~14시,2117,0:00:38,38
1차,신분확인,T2,2번출국장,평균,14시~15시,2162,0:00:51,51
1차,신분확인,T2,2번출국장,평균,15시~16시,1896,0:02:51,171
1차,신분확인,T2,2번출국장,평균,16시~17시,1945,0:04:35,275
1차,신분확인,T2,2번출국장,평균,17시~18시,1746,0:01:58,118
1차,보안검색,T1,2번출국장,P95,전체,2387,0:07:56,476
1차,보안검색,T1,2번출국장,P95,06시~07시,196,0:06:49,409
1차,보안검색,T1,2번출국장,P95,07시~08시,223,0:11:13,673
1차,보안검색,T1,2번출국장,P95,08시~09시,225,0:09:01,541
1차,보안검색,T1,2번출국장,P95,09시~10시,266,0:10:49,649
1차,보안검색,T1,2번출국장,P95,10시~11시,187,0:07:18,438
1차,보안검색,T1,2번출국장,P95,13시~14시,289,0:03:14,194
1차,보안검색,T1,2번출국장,P95,14시~15시,294,0:04:44,284
1차,보안검색,T1,2번출국장,P95,15시~16시,249,0:04:40,280
1차,보안검색,T1,2번출국장,P95,16시~17시,274,0:06:31,391
1차,보안검색,T1,2번출국장,P95,17시~18시,184,0:03:47,227
1차,보안검색,T1,3번출국장,P95,전체,2387,0:08:58,538
1차,보안검색,T1,3번출국장,P95,06시~07시,196,0:04:10,250
1차,보안검색,T1,3번출국장,P95,07시~08시,223,0:05:43,343
1차,보안검색,T1,3번출국장,P95,08시~09시,225,0:10:00,600
1차,보안검색,T1,3번출국장,P95,09시~10시,266,0:07:28,448
1차,보안검색,T1,3번출국장,P95,10시~11시,187,0:09:00,540
1차,보안검색,T1,3번출국장,P95,13시~14시,289,0:09:03,543
1차,보안검색,T1,3번출국장,P95,14시~15시,294,0:09:08,548
1차,보안검색,T1,3번출국장,P95,15시~16시,249,0:09:20,560
1차,보안검색,T1,3번출국장,P95,16시~17시,274,0:11:28,688
1차,보안검색,T1,3번출국장,P95,17시~18시,184,0:05:09,309
1차,보안검색,T1,4번출국장,P95,전체,2387,0:10:05,605
1차,보안검색,T1,4번출국장,P95,06시~07시,196,0:04:11,251
1차,보안검색,T1,4번출국장,P95,07시~08시,223,0:05:16,316
1차,보안검색,T1,4번출국장,P95,08시~09시,225,0:06:02,362
1차,보안검색,T1,4번출국장,P95,09시~10시,266,0:12:19,739
1차,보안검색,T1,4번출국장,P95,10시~11시,187,0:12:19,739
1차,보안검색,T1,4번출국장,P95,13시~14시,289,0:10:36,636
1차,보안검색,T1,4번출국장,P95,14시~15시,294,0:06:30,390
1차,보안검색,T1,4번출국장,P95,15시~16시,249,0:10:05,605
1차,보안검색,T1,4번출국장,P95,16시~17시,274,0:05:04,304
1차,보안검색,T1,4번출국장,P95,17시~18시,184,0:03:30,210
1차,보안검색,T1,5번출국장,P95,전체,2387,0:09:53,593
1차,보안검색,T1,5번출국장,P95,06시~07시,196,0:09:05,545
1차,보안검색,T1,5번출국장,P95,07시~08시,223,0:06:10,370
1차,보안검색,T1,5번출국장,P95,08시~09시,225,0:08:13,493
1차,보안검색,T1,5번출국장,P95,09시~10시,266,0:11:38,698
1차,보안검색,T1,5번출국장,P95,10시~11시,187,0:11:43,703
1차,보안검색,T1,5번출국장,P95,13시~14시,289,0:11:00,660
1차,보안검색,T1,5번출국장,P95,14시~15시,294,0:05:51,351
1차,보안검색,T1,5번출국장,P95,15시~16시,249,0:09:32,572
1차,보안검색,T1,5번출국장,P95,16시~17시,274,0:05:22,322
1차,보안검색,T1,5번출국장,P95,17시~18시,184,0:04:36,276
1차,보안검색,T2,1번출국장,P95,전체,2387,0:24:52,1492
1차,보안검색,T2,1번출국장,P95,06시~07시,196,0:20:09,1209
1차,보안검색,T2,1번출국장,P95,07시~08시,223,0:19:59,1199
1차,보안검색,T2,1번출국장,P95,08시~09시,225,0:22:35,1355
1차,보안검색,T2,1번출국장,P95,09시~10시,266,0:06:51,411
1차,보안검색,T2,1번출국장,P95,10시~11시,187,0:06:24,384
1차,보안검색,T2,1번출국장,P95,13시~14시,289,0:17:39,1059
1차,보안검색,T2,1번출국장,P95,14시~15시,294,0:37:10,2230
1차,보안검색,T2,1번출국장,P95,15시~16시,249,0:45:27,2727
