snsr_bdi_dt,tmnl_cd,snsr_dat_dstgs_id,snsr_dat_dstgs_nm,ilnd_que_len,que_brkaw_psg_wtng_psec_times,que_jing_psg_wtng_psec_times,dat_ldup_pgrm_id,dat_ldup_ymd
20250731000000,P01,1,Entrance East Departure Gates ,0.0,0.0,17.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,3,Entrance East Departure Gates ,8.0,121.0,54.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,6,Entrance East Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,1,Entrance West Departure Gates ,0.0,0.0,7.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,4,Security Check of Departure Ga,1.0,229.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,3,Security Check of Departure Ga,122.0,428.0,415.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,1,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,2,Security Check of Departure Ga,1.0,129.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,5,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,3,Entrance West Departure Gates ,34.0,308.0,180.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,1,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,2,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,1,Security Check of Departure Ga,0.0,10.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000000,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000000,P02,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
